Tipo_embalaje,Peso,Tipo_manipulacion,Lugar_procedencia,Temp_almacenamiento,Largo,Ancho,Altura,Protocolo
2,246.8,1,3,1,99,8,84,2
3,188.1,1,4,1,81,29,40,2
3,133.7,1,1,1,69,76,59,2
2,112.8,2,2,2,18,30,69,2
1,57.4,1,3,1,60,69,61,2
1,156.9,1,3,1,9,99,44,2
1,28.8,1,2,2,38,78,59,1
3,15.7,2,1,1,73,87,96,2
1,31.3,1,1,1,100,5,33,2
1,13.3,2,1,1,15,50,73,2
1,156.5,2,3,1,49,100,78,2
2,124.5,2,4,1,68,11,88,2
2,89,1,2,2,76,71,34,1
2,34.6,1,2,2,89,6,88,1
3,98.4,2,3,2,39,69,62,2
1,152,2,1,1,73,57,27,2
3,137.5,1,3,1,88,43,29,2
2,120.7,2,1,2,70,23,51,2
1,48.1,1,4,2,43,8,51,1
3,233.6,1,2,1,58,36,81,2
3,13.7,2,3,1,80,15,44,2
3,131.6,2,4,1,65,83,64,2
1,112.7,1,4,2,68,89,99,1
1,108.7,1,1,1,48,60,11,2
1,203.8,2,4,1,89,94,27,2
3,230.1,2,1,2,8,41,100,2
1,124,1,1,1,96,30,78,2
3,249.7,1,1,1,25,22,32,2
1,35.6,1,3,1,74,62,11,2
3,132.6,2,2,1,12,57,48,2
1,232.5,2,2,2,89,100,7,2
1,23,1,3,1,57,89,72,2
3,18.1,1,4,1,47,63,64,2
2,160.3,2,3,2,99,48,25,2
2,53.8,2,4,1,16,32,91,2
3,191.6,1,2,2,30,82,49,1
3,69.6,2,3,1,87,51,36,2
1,81,1,1,2,78,68,85,1
2,173.1,1,1,1,76,94,87,2
2,104.1,1,3,2,6,50,19,1
2,247.2,2,2,1,35,26,78,2
2,199,1,1,2,33,97,18,1
3,110.2,1,4,2,87,12,24,1
2,78.9,1,3,1,82,90,47,2
2,179,2,4,1,28,93,40,2
1,213.9,1,4,1,33,76,100,2
1,135.2,1,3,1,74,26,92,2
1,47.9,2,1,2,10,25,48,2
2,136.1,1,2,1,25,55,61,2
2,36.2,2,3,2,42,73,67,2
3,230.8,1,3,1,21,18,65,2
3,54.2,2,3,1,17,47,62,2
1,227.5,1,1,1,22,53,50,2
1,161.8,2,1,1,20,31,32,2
3,160.1,1,4,1,38,93,5,2
1,136.4,2,4,2,25,81,58,2
1,174.9,2,4,2,21,91,8,2
2,126,2,3,1,31,18,15,2
1,140.8,2,3,1,36,11,56,2
1,196.7,2,4,1,74,39,54,2
2,239.1,1,4,2,31,69,36,1
2,235.5,2,1,2,97,12,55,2
2,9.3,1,1,1,63,99,64,2
2,107.8,2,1,1,93,11,40,2
3,228.8,1,2,2,54,65,69,1
3,180.5,2,3,1,90,72,28,2
1,17.3,1,3,2,98,88,51,1
2,95.2,2,3,2,36,87,51,2
1,108.5,2,4,2,43,93,75,2
2,60.8,1,3,2,96,95,44,1
1,191,2,2,2,13,55,44,2
3,224,1,4,2,72,48,68,1
3,186.6,2,1,2,21,87,96,2
2,204.9,1,3,2,14,98,31,1
2,89.5,2,4,1,53,90,49,2
1,62.2,2,1,1,8,42,84,2
2,97.5,2,2,2,68,52,86,2
2,122.6,1,3,2,51,45,16,1
3,93.1,1,1,2,71,88,16,1
1,175.3,1,1,2,9,47,62,1
3,203.9,2,3,1,51,87,59,2
2,240.5,2,4,1,87,19,44,2
3,143.3,1,3,2,96,68,58,1
1,133.8,2,4,1,93,20,26,2
2,9.9,2,1,2,35,19,41,2
1,140.3,1,1,1,77,36,26,2
1,60.9,1,3,2,50,77,72,1
3,5.1,1,3,2,88,83,15,1
1,151.9,2,3,2,82,58,50,2
1,97.4,1,4,1,61,82,12,2
2,57.3,1,3,2,42,20,87,1
3,182,1,3,1,60,58,64,2
2,185.4,2,1,1,17,72,65,2
1,196.1,2,4,1,54,39,59,2
3,212,2,1,1,45,80,34,2
2,162.3,1,1,1,38,86,68,2
1,147.5,2,2,1,33,17,40,2
2,138.9,1,3,1,8,45,75,2
2,43,2,3,1,8,92,95,2
3,59.2,2,4,2,98,45,88,2
2,58.9,1,3,2,5,67,48,1
1,63.3,1,2,1,54,26,90,2
2,225,1,3,1,50,59,56,2
1,45.1,2,2,2,17,61,85,2
3,247.9,2,3,2,57,36,98,2
1,188.7,2,3,1,90,37,63,2
3,36.5,1,3,2,53,72,53,1
1,98.3,2,2,1,41,91,47,2
3,70.3,2,3,1,40,49,86,2
2,151.5,2,3,1,78,78,77,2
3,52.8,2,1,1,47,27,44,2
1,121.8,1,4,1,100,39,28,2
3,1.9,1,2,2,24,29,97,1
2,235.6,1,4,1,58,57,5,2
1,12.4,2,4,2,46,34,7,2
3,75.2,1,3,1,25,78,57,2
1,108.3,1,1,1,21,31,67,2
3,34.9,2,2,1,15,84,56,2
3,195.7,1,1,2,9,54,87,1
1,189.5,2,1,2,41,45,98,2
3,225.1,1,1,1,93,9,75,2
1,176.6,2,1,2,75,83,12,2
1,206.7,2,1,2,89,28,87,2
1,40.6,1,2,2,65,9,40,1
1,194.5,1,1,2,79,48,71,1
3,177.6,1,4,1,7,67,16,2
2,10.6,2,2,1,21,57,56,2
1,166,2,1,2,31,59,48,2
2,28.5,2,1,2,37,28,73,2
2,211.2,2,1,1,21,99,17,2
1,156.4,1,3,1,13,25,56,2
3,99.2,1,1,2,90,53,74,1
1,124.5,1,4,1,97,30,73,2
3,247.5,2,1,2,97,46,29,2
2,29.1,2,3,1,31,40,30,2
1,16.4,2,4,2,99,85,46,2
1,88.5,1,4,2,70,37,56,1
1,218.7,2,4,1,88,62,93,2
3,51.7,1,4,1,6,79,41,2
3,93.9,2,1,2,11,28,36,2
3,20.9,2,1,1,57,11,13,2
3,105.5,2,4,1,36,54,43,2
1,245.4,2,2,1,45,7,54,2
3,90,2,2,2,7,92,75,2
3,7.2,2,2,2,76,43,63,2
2,235.7,2,1,1,75,8,18,2
2,222,2,4,1,66,95,72,2
3,146.1,1,4,1,34,15,34,2
3,207.5,1,4,1,82,58,17,2
2,132.6,1,1,2,61,8,47,1
2,1.1,1,4,2,13,55,21,1
3,9.8,2,1,1,5,37,47,2
3,231.8,2,1,2,62,8,33,2
1,74.7,1,1,2,42,32,22,1
1,28.4,2,3,1,86,74,95,2
2,31.8,1,1,1,92,89,28,2
2,221.1,1,1,2,83,96,60,1
1,184.5,2,1,2,86,75,31,2
3,170.3,2,3,1,13,58,72,2
2,47.5,2,1,2,39,97,37,2
2,86.9,1,1,1,61,98,44,2
3,233.1,1,2,2,5,90,93,1
1,171.6,2,4,1,90,10,73,2
3,214.7,2,3,2,87,25,30,2
3,195.8,2,2,1,76,18,22,2
3,138.7,2,4,1,82,55,54,2
3,37.9,2,2,1,8,30,47,2
3,174.6,2,4,1,18,95,87,2
3,226.5,2,2,2,87,25,21,2
1,4.4,2,3,2,70,58,22,2
3,0.3,1,4,1,70,86,8,2
2,190.5,2,1,1,26,12,70,2
1,51.4,1,2,1,78,44,83,2
2,97.2,1,1,1,31,84,53,2
2,174.1,1,1,2,11,59,93,1
1,95.7,2,2,1,83,17,50,2
2,176.8,2,2,1,95,81,10,2
3,115.2,1,2,1,93,83,94,2
2,121.8,2,4,2,32,24,18,2
2,15.7,2,4,2,61,49,81,2
3,73.1,2,4,1,73,26,94,2
2,17.4,2,1,1,92,15,51,2
2,248.9,2,3,1,35,38,80,2
3,171.1,1,3,2,37,45,44,1
2,222,1,3,1,92,7,55,2
3,86.8,2,2,2,14,29,53,2
1,228.6,2,3,2,67,33,73,2
3,153.4,2,4,1,100,22,59,2
1,103.6,1,2,2,62,58,70,1
3,19.8,1,3,2,37,77,52,1
1,203.5,2,3,2,92,35,56,2
2,23.8,1,4,1,90,93,68,2
3,152.3,2,4,2,75,35,92,2
1,117.3,1,1,2,17,97,18,1
3,204.2,2,2,2,69,22,29,2
1,47.5,2,1,1,81,8,6,2
2,58.8,1,1,2,7,69,39,1
3,10.6,1,4,2,12,100,12,1
2,1.9,2,4,2,90,57,91,2
1,152.8,2,2,1,63,81,19,2
2,182.5,2,1,1,20,97,85,2
3,115.3,1,4,1,58,34,33,2
2,180.2,2,4,2,32,6,42,2
2,234.5,1,3,2,77,94,48,1
3,143.3,1,1,1,67,99,70,2
2,235.1,1,4,1,100,98,99,2
3,200.6,2,2,1,91,32,62,2
2,30,2,3,1,33,89,32,2
2,81.3,1,3,2,38,75,82,1
1,186.5,1,1,1,62,98,100,2
2,82.6,2,1,1,35,22,16,2
1,79.1,1,3,1,83,66,26,2
3,112.9,2,4,1,40,20,16,2
3,205.3,2,2,1,50,19,47,2
1,103.7,1,3,1,26,88,21,2
3,148.7,1,2,2,28,20,15,1
1,155,1,1,2,68,14,34,1
2,165.1,1,2,2,33,30,99,1
3,167.5,2,2,1,36,25,80,2
1,32.9,1,1,1,53,13,22,2
1,80.2,2,3,2,82,60,84,2
3,197.1,2,3,1,93,29,33,2
2,86.4,1,3,2,81,55,71,1
1,32.8,2,1,1,53,24,77,2
2,23,2,1,2,79,49,41,2
1,34.6,2,4,1,10,35,93,2
2,127.9,2,2,1,90,85,8,2
1,62.6,2,3,1,94,83,45,2
1,234,2,2,1,84,85,75,2
1,137.5,2,3,2,8,90,100,2
2,156.4,2,3,1,53,72,42,2
3,29.2,2,2,2,11,86,54,2
3,121.1,2,3,1,6,100,78,2
1,72.2,1,3,2,95,42,52,1
3,198.9,1,4,2,51,64,83,1
2,218.4,1,4,2,61,26,8,1
2,41.8,2,2,1,44,95,91,2
1,223.2,2,3,1,80,90,38,2
1,218.2,1,1,1,69,97,23,2
1,60.7,2,4,2,33,31,86,2
2,109.6,1,1,2,71,47,83,1
2,179.3,2,3,1,33,38,19,2
3,158.4,1,4,1,82,91,30,2
3,92.6,1,1,1,93,49,41,2
2,110.6,1,3,1,75,74,49,2
1,176.5,2,3,1,84,47,13,2
3,66.4,2,2,1,70,70,99,2
1,102.2,1,1,1,17,23,90,2
2,109.8,1,1,1,30,68,56,2
1,174.7,2,2,2,27,69,64,2
3,193.1,2,1,1,99,12,87,2
1,229.9,1,2,2,82,62,34,1
3,79.8,2,2,1,67,7,79,2
3,204.7,1,1,2,22,13,18,1
3,187.2,2,2,1,82,25,61,2
2,15.2,2,3,2,80,94,74,2
2,11.5,2,1,1,49,56,36,2
1,172.7,2,4,1,35,74,67,2
2,2.1,2,4,2,61,15,17,2
1,101.8,1,4,2,51,47,37,1
1,164.7,2,2,2,84,48,35,2
2,42.5,1,4,2,72,44,35,1
3,146.4,2,4,1,64,79,39,2
3,3.2,2,3,1,22,52,28,2
1,60.1,2,4,2,89,54,95,2
1,105.7,2,1,2,97,85,46,2
3,226,2,4,2,59,22,35,2
1,85.4,2,2,2,65,83,33,2
3,217.2,2,1,2,58,27,58,2
1,16.5,2,3,2,7,26,64,2
1,162.2,2,3,2,76,85,86,2
1,222.7,2,4,2,28,27,75,2
1,153.9,1,1,1,21,93,62,2
2,200,2,3,1,73,43,27,2
3,64.2,2,4,1,74,30,60,2
2,217.4,2,2,2,51,34,28,2
1,62.3,1,2,1,62,70,48,2
3,82.1,1,1,2,38,13,51,1
1,120.4,1,2,1,71,93,83,2
1,112,2,4,2,15,100,69,2
2,127.9,2,4,1,21,77,80,2
2,244.2,2,1,2,30,25,22,2
1,71.8,1,1,1,88,16,68,2
1,118,1,1,1,58,18,14,2
2,223.1,1,3,1,31,69,5,2
1,72.1,2,3,2,50,75,22,2
2,160.4,2,3,1,42,69,94,2
3,185.6,2,3,1,50,10,32,2
2,132.5,1,2,2,91,96,81,1
1,109.7,2,3,1,67,61,11,2
1,6.6,2,1,2,100,62,18,2
2,198.1,1,1,1,51,52,12,2
3,6.6,1,2,1,71,54,35,2
1,158.5,1,3,2,28,17,5,1
1,180.2,2,1,2,12,7,23,2
3,184.1,1,3,1,50,78,51,2
3,112.3,2,3,2,9,68,22,2
3,85.3,2,1,1,28,21,93,2
1,184.9,2,3,1,68,54,62,2
3,238,2,3,2,45,37,31,2
2,63.5,2,3,2,56,94,72,2
2,216.7,2,4,2,75,30,68,2
1,63.9,2,1,1,48,99,22,2
3,60.6,1,4,2,85,35,51,1
1,129.1,2,3,2,61,95,95,2
3,37.4,2,4,1,88,99,58,2
1,167.8,1,1,2,91,11,55,1
2,129.2,2,4,1,86,19,70,2
1,198,2,3,1,50,84,56,2
3,215.2,1,4,2,72,67,28,1
3,30.9,2,4,1,100,14,62,2
1,62.1,2,1,2,31,5,62,2
2,119.9,2,4,1,56,37,40,2
2,85.2,1,4,2,51,43,76,1
1,119.1,1,3,2,46,41,9,1
2,236.7,2,1,2,61,58,54,2
3,201.9,2,2,2,21,28,67,2
3,99.2,2,1,1,83,89,63,2
3,168,1,1,1,98,60,63,2
2,121.9,1,1,2,91,79,53,1
3,248.7,2,3,2,32,60,16,2
1,173.2,2,4,1,40,94,39,2
1,57.5,2,3,1,81,50,45,2
1,139.8,1,3,2,14,93,90,1
3,126.1,1,2,2,19,10,75,1
3,120.9,2,1,1,65,44,36,2
1,217.4,2,2,1,54,45,50,2
3,188.9,2,3,2,5,95,24,2
3,100.9,1,1,1,70,66,93,2
3,0.6,2,2,1,35,87,62,2
3,194.5,1,3,2,27,27,42,1
1,85.6,1,3,2,95,9,32,1
1,236,2,4,1,28,27,48,2
3,71,2,3,2,33,55,58,2
2,77.2,1,1,2,76,21,71,1
1,86.1,1,3,1,87,23,34,2
3,104.9,2,2,2,23,48,75,2
2,54.4,2,2,2,13,25,27,2
3,220,2,4,1,87,98,93,2
3,6.6,1,1,1,32,68,74,2
2,115.8,2,3,1,19,9,76,2
2,70.9,1,4,1,91,30,55,2
1,220.2,1,4,2,5,16,12,1
2,223.3,2,1,1,70,19,36,2
2,71.1,2,2,2,23,95,24,2
2,144,1,3,1,75,94,89,2
2,242.2,2,4,1,10,63,62,2
3,77.1,2,4,1,48,75,48,2
1,19.1,2,2,1,69,87,76,2
2,77.4,1,4,2,61,99,69,1
3,163.9,2,4,2,29,17,54,2
3,201,2,2,2,75,13,7,2
3,74.8,1,2,2,14,87,9,1
2,33.8,2,2,1,41,16,81,2
2,31.5,1,2,1,91,5,82,2
1,23.2,1,3,1,95,71,29,2
3,49.1,2,3,1,54,73,49,2
2,52,1,3,1,38,51,48,2
3,4.8,2,4,1,53,60,36,2
1,239.4,2,3,1,5,5,93,2
3,180.1,2,4,1,74,98,41,2
1,136.7,2,3,2,69,64,29,2
1,21.5,2,4,2,31,25,20,2
1,118.1,2,3,1,64,94,43,2
1,219.8,1,2,1,31,56,53,2
2,239.3,2,2,1,100,55,33,2
3,186.5,2,3,2,22,33,78,2
2,34.4,2,2,2,59,52,38,2
1,107.7,1,3,1,39,44,47,2
1,91.7,2,2,1,23,28,57,2
3,192.6,1,4,2,65,17,94,1
2,35.2,2,3,2,25,53,86,2
1,53.9,1,2,2,21,31,34,1
3,97.2,2,3,1,30,90,80,2
1,235.6,2,4,2,73,6,39,2
2,148.7,1,2,2,5,78,33,1
3,231.8,1,3,1,30,53,55,2
1,97.3,1,4,2,84,41,45,1
2,129.3,1,2,2,69,28,9,1
3,61.7,2,1,2,61,42,46,2
2,102.1,2,1,1,54,53,6,2
2,195,2,2,2,16,100,45,2
3,55.6,1,3,2,92,13,61,1
2,237.7,1,2,2,35,78,14,1
3,106.9,1,1,2,85,55,41,1
2,22,2,2,2,80,92,56,2
3,233.6,1,3,2,5,58,29,1
3,195.9,2,2,2,25,7,54,2
2,212.7,1,1,1,24,61,16,2
3,28.7,2,4,1,16,36,10,2
2,135.2,1,1,1,47,94,66,2
3,242.4,2,2,1,26,90,17,2
3,212,1,2,2,78,80,16,1
2,188.7,1,4,2,43,39,79,1
1,5.3,2,3,1,56,44,52,2
3,151.5,2,4,1,36,30,81,2
1,204.1,1,4,2,45,94,17,1
1,167.1,2,2,1,92,96,11,2
2,46.8,1,3,2,48,7,7,1
3,39.1,1,2,2,93,44,59,1
1,62.6,1,2,2,90,47,95,1
3,171.4,2,4,1,13,65,79,2
1,192.9,1,3,2,51,14,93,1
2,227.8,2,2,2,81,68,8,2
3,241,2,1,2,25,66,71,2
2,206.1,1,1,2,44,20,82,1
3,217,1,1,1,41,25,28,2
2,118.1,1,4,2,81,9,56,1
1,183.8,2,3,2,38,26,55,2
3,142.4,1,2,2,44,60,70,1
2,191.7,2,4,1,46,99,52,2
1,198.2,1,2,1,50,52,12,2
2,196.6,1,3,1,81,86,40,2
3,216.2,1,1,1,57,25,34,2
3,2,1,3,1,23,17,18,2
1,19.9,1,2,2,19,98,60,1
2,248.4,1,3,2,50,72,42,1
2,23.1,2,1,2,56,20,46,2
1,165,1,3,1,75,44,88,2
3,174.6,1,2,1,21,17,14,2
3,84.6,2,1,1,89,22,36,2
1,15.3,1,1,2,70,24,72,1
3,218.1,2,2,1,44,12,19,2
3,88.7,1,3,1,21,15,93,2
3,12.3,1,1,2,32,33,99,1
3,243.8,1,1,2,34,28,30,1
1,94.1,2,4,1,60,19,43,2
2,179.2,2,1,2,91,27,63,2
2,139.8,2,2,1,43,9,96,2
1,129.8,1,3,1,25,58,37,2
3,11.9,2,4,2,16,55,48,2
2,225,1,3,1,7,53,92,2
1,116,1,1,1,23,82,60,2
1,149.4,1,4,1,73,10,42,2
2,111.7,1,1,2,85,51,47,1
2,212.4,1,4,2,58,79,79,1
2,196.3,2,3,1,64,74,71,2
2,169,1,3,1,83,63,68,2
3,77.2,1,2,2,50,29,20,1
3,44.1,1,2,2,70,98,70,1
2,142,1,1,2,75,69,69,1
1,15.5,2,1,1,32,57,10,2
2,49.5,2,2,2,82,99,63,2
1,78.7,2,3,1,15,17,66,2
3,194.1,2,2,1,16,6,11,2
2,237.1,1,2,1,47,25,48,2
3,116.7,1,2,2,99,78,24,1
2,221.9,1,3,1,33,99,15,2
3,135.6,2,1,2,31,79,36,2
2,92.5,1,2,1,20,76,53,2
3,69.2,2,4,1,79,10,34,2
3,8.2,1,2,2,17,90,19,1
3,149.9,2,1,2,7,16,67,2
1,21.2,2,4,1,15,16,95,2
3,149,1,1,2,83,57,100,1
2,106.4,2,4,2,99,42,69,2
1,61.2,2,4,2,54,52,7,2
3,198.2,2,3,2,46,62,84,2
2,173.9,1,4,2,43,54,91,1
1,94.1,1,4,1,24,82,51,2
2,9.9,1,3,1,90,96,31,2
3,104.1,2,1,2,96,27,91,2
2,86,1,3,1,31,99,98,2
2,101.3,1,1,1,15,21,50,2
3,46.7,1,4,2,72,21,83,1
3,44.5,1,4,2,52,19,36,1
2,226.7,1,2,2,72,6,82,1
3,208.2,1,3,1,72,69,59,2
3,60.8,2,2,2,98,33,8,2
2,4.2,1,3,1,34,84,30,2
3,7,2,3,1,16,91,82,2
3,194,2,3,2,90,32,37,2
1,93.6,1,3,1,43,18,76,2
2,67.6,1,2,2,43,76,48,1
3,192.7,2,3,2,38,9,68,2
1,199.8,2,4,2,77,88,97,2
3,249,1,3,1,63,84,95,2
3,166.8,2,4,2,98,76,66,2
1,210.4,1,2,2,51,52,75,1
1,71.7,2,2,1,47,35,89,2
2,2,2,4,1,64,91,7,2
1,231.5,2,3,1,21,14,61,2
1,130.9,2,3,2,81,85,80,2
3,93,1,4,2,24,17,64,1
2,196.7,2,4,2,14,14,32,2
1,56.3,2,2,1,51,71,22,2
1,175,2,1,1,23,41,55,2
2,134.6,2,3,2,11,53,21,2
3,152.4,2,1,1,14,41,47,2
1,190.1,1,4,2,57,76,82,1
3,153.8,1,2,2,51,9,16,1
1,35.3,1,4,2,30,35,76,1
1,129.8,2,2,1,35,100,75,2
2,59.7,1,4,2,54,68,40,1
2,168.2,1,1,2,93,44,35,1
3,94.4,1,1,1,91,54,87,2
1,116.2,1,3,1,94,83,23,2
1,74.3,2,3,2,48,95,10,2
1,49,1,3,2,64,38,36,1
3,243.1,2,4,1,17,70,25,2
1,59.9,1,2,1,97,19,90,2
1,86.3,1,4,1,81,79,32,2
3,135.3,2,2,1,82,37,62,2
1,34.9,2,1,2,86,73,29,2
2,109.6,2,3,2,84,51,71,2
1,167.9,2,3,1,41,94,47,2
3,92.6,2,1,2,56,17,52,2
2,229.7,2,4,2,95,99,41,2
1,44,2,4,2,7,28,15,2
2,64.1,1,1,1,48,51,85,2
2,131.1,1,2,2,77,87,87,1
3,175.1,1,4,2,13,97,43,1
2,234.5,1,4,2,52,97,85,1
3,39.1,2,4,1,85,43,73,2
1,112.3,2,4,2,64,36,83,2
2,56.9,2,4,1,91,91,84,2
3,80.5,2,2,1,87,6,35,2
2,110.6,2,4,1,84,33,30,2
2,12.9,1,4,2,38,19,12,1
3,226.4,2,4,2,93,51,100,2
1,138.5,2,1,2,58,84,46,2
3,92.2,2,1,1,16,57,62,2
1,103.1,1,3,2,97,30,41,1
2,195.3,1,2,2,7,60,95,1
1,52,2,4,1,45,77,6,2
1,210,1,3,2,30,25,47,1
1,211.7,2,3,2,85,100,56,2
3,177.6,2,3,1,92,65,22,2
1,74.2,1,1,1,57,96,93,2
3,184.2,1,2,1,62,88,13,2
2,227.7,2,1,2,61,59,99,2
3,172.8,1,4,2,56,51,41,1
1,220.8,1,3,2,29,19,85,1
1,146,1,2,1,23,25,70,2
1,109.8,1,1,2,89,5,19,1
1,211.6,1,3,1,19,71,91,2
2,177.2,1,4,1,34,86,47,2
3,108.7,2,1,2,44,37,89,2
2,160.4,1,4,1,15,30,7,2
3,116.6,2,1,1,76,36,89,2
2,78.8,1,1,1,18,100,48,2
1,46.4,1,2,1,15,22,60,2
1,152.8,1,1,2,81,13,74,1
3,244.6,1,3,1,38,30,43,2
2,101.1,1,4,2,79,68,66,1
1,246.5,1,4,2,89,41,94,1
3,209,2,4,1,35,5,82,2
3,166.1,1,2,1,73,28,67,2
1,39,2,3,1,42,45,25,2
2,19.4,2,1,1,47,87,25,2
1,124.1,2,4,1,62,41,44,2
3,105.7,1,4,1,96,7,17,2
2,220.5,1,4,1,81,61,86,2
1,147.9,2,1,1,77,84,60,2
1,114,2,1,2,91,61,91,2
2,20.3,2,3,1,54,93,73,2
1,114.5,2,4,1,37,97,81,2
1,16.2,2,4,1,64,97,90,2
2,149.2,2,3,2,6,7,17,2
2,235.7,2,4,2,79,26,59,2
2,202.3,1,4,2,25,18,74,1
2,123.4,1,4,1,80,84,19,2
2,75.4,1,2,1,84,99,17,2
3,186.4,1,4,2,97,50,78,1
1,60.7,2,3,2,73,61,91,2
3,204.5,2,4,1,12,6,61,2
